Id,Sales
1,4170.6587
2,7559.503
3,8999.915
4,7578.2944
5,7257.678
6,5819.5903
7,7670.0356
8,7994.723
9,5304.3726
10,5711.8076
11,6873.051
12,8230.443
13,7208.379
14,9246.192
15,5995.582
16,4972.7764
17,5668.2915
18,9784.945
19,10812.617
20,9867.558
21,7817.954
22,4505.7246
23,5808.266
24,4285.026
25,7760.496
26,10406.58
27,9531.689
28,5688.087
29,5180.871
30,4430.6704
31,5762.761
32,10584.145
33,6324.7563
34,5391.359
35,5597.2856
36,8059.9634
37,3845.6997
38,7481.5464
39,4378.38
40,7060.5815
41,7261.514
42,5322.898
43,8041.8257
44,7056.5757
45,4992.572
46,6767.5435
47,7114.8804
48,12007.4795
49,5915.4585
50,8329.999
51,6711.6304
52,9285.085
53,6635.6914
54,9533.971
55,4836.8594
56,4922.628
57,6123.0566
58,5733.15
59,9080.403
60,7714.2393
61,5598.1504
62,7662.0728
63,7083.8804
64,10254.151
65,4015.8726
66,12976.823
67,4895.3247
68,6288.3813
69,8322.376
70,4959.7065
71,6290.913
72,6143.4033
73,7513.9346
74,5679.478
75,6045.917
76,7653.958
77,7738.514
78,7154.1445
79,5315.8755
80,7074.785
81,11603.172
82,6455.441
83,4289.0293
84,6763.033
85,6041.15
86,5768.3433
87,7462.475
88,3955.37
89,7931.154
90,6064.6245
91,7137.2627
92,6626.533
93,4035.3647
94,5286.3105
95,5057.6196
96,8227.21
97,8520.944
98,5207.05
99,4991.467
100,7216.0283
101,5869.086
102,6334.4824
103,7343.374
104,6592.1445
105,7572.4995
106,5752.338
107,4367.668
108,6936.73
109,8437.154
110,8262.195
111,8466.69
112,8027.6943
113,5798.629
114,8830.31
115,5581.137
116,7298.3853
117,9038.9795
118,6410.184
119,10213.984
120,7694.868
121,7591.077
122,5944.849
123,7121.5815
124,8026.4614
125,6602.238
126,3957.5815
127,5381.238
128,7779.0376
129,5732.275
130,4369.606
131,8445.624
132,6524.337
133,5602.296
134,5988.0435
135,5273.8555
136,7598.5024
137,7052.599
138,6879.3535
139,5737.253
140,5311.7295
141,6471.0254
142,3691.0752
143,6039.1274
144,5424.905
145,8545.427
146,7416.077
147,6185.7036
148,11662.808
149,4984.7104
150,5180.224
151,10524.211
152,6996.8867
153,8667.066
154,7444.496
155,5795.7427
156,6363.386
157,5641.231
158,8622.163
159,11458.533
160,6166.999
161,3304.44
162,4622.253
163,8820.125
164,8914.313
165,6254.411
166,7109.9756
167,5049.4634
168,5413.5073
169,3401.7568
170,5293.7026
171,6250.946
172,7365.674
173,7173.851
174,6974.905
175,8090.2554
176,9345.127
177,7595.3286
178,5156.418
179,9503.213
180,10404.615
181,6027.767
182,7988.6484
183,5369.732
184,6687.1885
185,4235.46
186,7232.2
187,5410.6934
188,9095.373
189,7233.5938
190,8361.633
191,7935.512
192,5458.0347
193,8573.42
194,18599.012
195,10177.557
196,5789.7915
197,3045.8347
198,6125.651
199,8307.664
200,5783.0474
201,12245.668
202,18861.367
203,4176.79
204,5346.2124
205,9323.155
206,5058.4736
207,8696.843
208,7009.732
209,7655.192
210,4769.8975
211,6544.968
212,6175.275
213,7372.8013
214,10099.099
215,6583.3228
216,5900.514
217,7098.0635
218,5211.214
219,5111.6587
220,7833.3003
221,5966.7886
222,5871.4775
223,7335.275
224,6460.5654
225,5898.9946
226,7428.2114
227,7282.0444
228,8618.093
229,6513.0024
230,7736.3296
231,5862.736
232,3934.586
233,6392.8247
234,6906.974
235,6023.6753
236,4514.6777
237,8787.612
238,7226.808
